file_name,eid,class_mark,sort_class_mark,orientation
140143,MS-DAR-00209-00014-000-00380.jpg,DAR 209.14: 174v,DAR 00209.00014: 00174V,v
33383,MS-DAR-00209-00014-000-00379.jpg,DAR 209.14: 174r,DAR 00209.00014: 00174R,r
140142,MS-DAR-00209-00014-000-00378.jpg,DAR 209.14: 173v,DAR 00209.00014: 00173V,v
34374,MS-DAR-00209-00014-000-00377.jpg,DAR 209.14: 173r,DAR 00209.00014: 00173R,r
140141,MS-DAR-00209-00014-000-00376.jpg,DAR 209.14: 172v,DAR 00209.00014: 00172V,v
33381,MS-DAR-00209-00014-000-00375.jpg,DAR 209.14: 172r,DAR 00209.00014: 00172R,r
140140,MS-DAR-00209-00014-000-00374.jpg,DAR 209.14: 171v,DAR 00209.00014: 00171V,v
13226,MS-DAR-00209-00014-000-00373.jpg,DAR 209.14: 171r,DAR 00209.00014: 00171R,r
140139,MS-DAR-00209-00014-000-00372.jpg,DAR 209.14: 170bv,DAR 00209.00014: 00170BV,v
89051,MS-DAR-00209-00014-000-00371.jpg,DAR 209.14: 170br,DAR 00209.00014: 00170BR,r
140138,MS-DAR-00209-00014-000-00370.jpg,DAR 209.14: 170av,DAR 00209.00014: 00170AV,v
89050,MS-DAR-00209-00014-000-00369.jpg,DAR 209.14: 170ar,DAR 00209.00014: 00170AR,r
140137,MS-DAR-00209-00014-000-00368.jpg,DAR 209.14: 169v,DAR 00209.00014: 00169V,v
14688,MS-DAR-00209-00014-000-00367.jpg,DAR 209.14: 169r,DAR 00209.00014: 00169R,r
140136,MS-DAR-00209-00014-000-00366.jpg,DAR 209.14: 168v,DAR 00209.00014: 00168V,v
14714,MS-DAR-00209-00014-000-00365.jpg,DAR 209.14: 168r,DAR 00209.00014: 00168R,r
140135,MS-DAR-00209-00014-000-00364.jpg,DAR 209.14: 167pv,DAR 00209.00014: 00167PV,v
89043,MS-DAR-00209-00014-000-00363.jpg,DAR 209.14: 167pr,DAR 00209.00014: 00167PR,r
140134,MS-DAR-00209-00014-000-00362.jpg,DAR 209.14: 167ov,DAR 00209.00014: 00167OV,v
106532,MS-DAR-00209-00014-000-00361.jpg,DAR 209.14: 167or,DAR 00209.00014: 00167OR,r
